Date,Andaman and Nicobar Islands,Andhra Pradesh,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,J and K,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,NorthEast,Odisha,Punjab,Rajasthan,Tamil Nadu,Telengana,Uttar Pradesh,Uttarakhand,West Bengal,India
2020-05-08,33,1847,550,59,5980,7,7012,625,46,835,132,705,503,3252,17974,135,219,1644,3427,5409,1123,3071,61,1548,56197.0
2020-05-10,33,1930,591,59,6542,7,7796,675,50,878,156,794,505,3614,20228,214,294,1762,3708,6535,1163,3373,67,1786,62760.0
2020-05-12,33,2018,747,59,7233,7,8541,730,59,921,160,862,519,3785,23401,234,414,1877,3988,8002,1275,3573,68,2063,70569.0
2020-05-14,33,2137,940,59,7998,7,9267,793,66,1014,173,959,534,4173,25922,252,538,1924,4328,9227,1367,3729,72,2290,77802.0
2020-05-16,33,2307,1018,66,8895,15,9931,818,76,1056,203,1056,576,4595,29100,264,672,1935,4727,10108,1454,4057,82,2461,85505.0
2020-05-18,33,2407,1262,86,10054,29,11379,910,80,1226,223,1147,601,4977,33053,290,828,1964,5202,11224,1551,4259,92,2677,95554.0
2020-05-20,33,2532,1498,101,10554,46,12140,964,92,1360,231,1397,642,5465,37136,339,978,2002,5845,12448,1634,4926,111,2961,105435.0
2020-05-22,33,2647,1982,128,11659,52,12905,1031,152,1493,290,1605,690,5981,41642,417,1103,2028,6227,13967,1699,5515,146,3197,116589.0
2020-05-24,33,2757,2380,214,12910,55,13664,1131,185,1618,350,1959,795,6371,47190,564,1269,2045,6742,15512,1813,6017,244,3459,129277.0
2020-05-26,33,3110,2730,291,14053,67,14460,1184,223,1720,377,2182,896,6859,52667,780,1438,2060,7300,17082,1920,6532,349,3816,142129.0
