Date,Andaman and Nicobar Islands,Andhra Pradesh,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,J and K,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,NorthEast,Odisha,Punjab,Rajasthan,Tamil Nadu,Telengana,Uttar Pradesh,Uttarakhand,West Bengal,India
2020-05-12,0,45,6,0,73,0,513,11,2,10,3,31,4,221,868,3,3,31,113,53,30,80,1,190,2291.0
2020-05-14,0,47,7,0,106,0,566,11,2,11,3,33,4,232,975,3,3,32,121,64,34,83,1,207,2545.0
2020-05-16,0,48,7,0,123,0,606,11,3,11,3,36,4,239,1068,3,3,32,125,71,34,95,1,225,2748.0
2020-05-18,0,50,8,0,160,0,659,14,3,13,3,37,4,248,1198,3,4,35,131,78,34,104,1,238,3025.0
2020-05-20,0,52,9,0,168,0,719,14,3,17,3,40,4,258,1325,5,5,38,143,84,38,123,1,250,3299.0
2020-05-22,0,53,11,0,194,0,773,15,3,20,3,41,4,270,1454,5,7,39,151,94,45,138,1,259,3580.0
2020-05-24,0,56,11,0,231,0,829,16,3,21,4,42,4,281,1577,5,7,39,160,103,49,155,2,269,3864.0
2020-05-26,0,56,13,0,276,0,888,16,5,23,4,44,5,300,1695,5,7,40,167,118,56,165,3,278,4164.0
2020-05-28,0,58,15,0,303,0,938,18,5,26,4,47,7,313,1897,5,7,40,173,133,63,182,4,289,4527.0
2020-05-30,0,60,15,1,398,0,980,19,5,28,5,48,8,334,2098,5,7,42,184,154,71,198,5,302,4967.0
2020-06-01,0,62,21,1,473,0,1038,20,5,28,5,51,9,350,2286,5,7,45,194,173,82,213,5,317,5390.0
2020-06-03,0,64,24,1,556,0,1092,23,5,34,5,52,11,364,2465,5,7,46,203,197,92,222,7,335,5810.0
2020-06-05,0,71,29,2,650,0,1155,24,5,36,6,57,14,377,2710,5,7,47,213,220,105,245,10,355,6343.0
