Date,Andaman and Nicobar Islands,Andhra Pradesh,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,J and K,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,NorthEast,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telengana,Uttar Pradesh,Uttarakhand,West Bengal,India
2020-01-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-01-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-02-02,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-02-03,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-02-04,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
2020-02-05,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
2020-02-06,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
2020-02-07,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
2020-02-08,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0
2020-02-09,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0
2020-02-10,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0
2020-02-11,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0
2020-02-12,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0
2020-02-13,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,2.0,0.0,1.0,0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0
2020-02-14,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,2.0,0.0,1.0,0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0
2020-02-15,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,1.0,0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0
2020-02-16,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,2.0,0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0
2020-02-17,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,2.0,0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0
2020-02-18,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,2.0,0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,33.0
2020-02-19,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,3.0,0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,35.0
2020-02-20,0.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,3.0,0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,38.0
2020-02-21,0.0,1.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,2.0,0.0,3.0,0,6.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,42.0
2020-02-22,0.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,3.0,0,6.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,41.0
2020-02-23,0.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,3.0,0,6.0,13.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,46.0
2020-02-24,0.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,3.0,0,6.0,16.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,49.0
2020-02-25,0.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,0.0,3.0,0,6.0,19.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,53.0
